desig7,nm,Tipo,micro,bairro,d1,cf,le,lat,lon
0004049,CP INSTITUTO JOSEFA LAURENTINO,Creche Parceira,4.12,Maré,34,27,0,-22.84825,-43.24774
0004050,CP CENTRO EDUCACIONAL CARIOQUINHA,Creche Parceira,4.9,Ramos,48,24,14,-22.85441,-43.24715
0005001,CP ASSOCIAÇÃO AMIGOS DA CRIANÇA - CRECHE ROCHA MIRANDA,Creche Parceira,5.10,Rocha Miranda,148,66,90,-22.85261,-43.35192
0005003,CP CRECHE PINTINHO DOURADO,Creche Parceira,5.15,Quintino Bocaiúva,137,36,24,-22.88951,-43.32447
0005004,CP CRECHE CASULO SÃO RAFAEL ARCANJO,Creche Parceira,5.3,Vista Alegre,40,27,0,-22.83134,-43.31818
0005005,CP CRECHE APÓSTOLO SÃO PEDRO,Creche Parceira,5.6,Cavalcanti,110,53,0,-22.87249,-43.31334
0005006,CP CRECHE CARDEAL CÂMARA,Creche Parceira,5.17,Campinho,354,120,47,-22.88764,-43.34557
0005007,CP CENTRO COMUNITÁRIO FLOR DO AMANHÃ,Creche Parceira,6.16,Marechal Hermes,13,19,5,-22.84824,-43.36163
0005008,CP ASSOCIAÇÃO HOUSE BABY - VILA KOSMOS,Creche Parceira,5.1,Vila Cosmos,146,78,15,-22.85633,-43.3069
0005010,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL VII,Creche Parceira,5.4,Irajá,428,358,0,-22.82851,-43.32956
0005012,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL XI,Creche Parceira,5.2,Vila da Penha,215,155,4,-22.84274,-43.31111
0005013,CP CENTRO EDUCACIONAL SOMAR,Creche Parceira,5.14,Bento Ribeiro,83,25,34,-22.86338,-43.36411
0005014,CP AEMMAC - MARECHAL HERMES,Creche Parceira,5.14,Marechal Hermes,207,188,25,-22.86149,-43.36831
0005015,CP AEMMAC - ROCHA MIRANDA,Creche Parceira,5.11,Rocha Miranda,289,146,83,-22.8407,-43.34991
